  *** Project Runge-Kutt ***
  ****** Input  maximum steps i_max:
1000
   h= 5.00500482E-03     t_max=5.00000000        i_max= 1000
   p2= 7.00000000        Beta=1.00000000         Kappa=   6.00000000        x0=  0.100000001    
 _________________________________________________
     i             t               K(t)    (p2-Beta/Kappa*x)      x(t)
         319   1.59659576       22.3591499      0.229521751       40.6228676    
         320   1.60160077       22.4192104      0.225264549       40.6484108    
         321   1.60660577       22.4792709      0.221075535       40.6735458    
         322   1.61161077       22.5393295      0.216953278       40.6982803    
         323   1.61661577       22.5993900      0.212896824       40.7226181    
         324   1.62162077       22.6594505      0.208906174       40.7465630    
         325   1.62662578       22.7195091      0.204979897       40.7701187    
         326   1.63163078       22.7795696      0.201117516       40.7932930    
         327   1.63663578       22.8396301      0.197318077       40.8160896    
         328   1.64164078       22.8996906      0.193580627       40.8385162    
         329   1.64664578       22.9597511      0.189904213       40.8605728    
         330   1.65165079       23.0198097      0.186288834       40.8822670    
         331   1.65665579       23.0798702      0.182732582       40.9036026    
         332   1.66166079       23.1399307      0.179235458       40.9245872    
         333   1.66666579       23.1999893      0.175796509       40.9452209    
         334   1.67167079       23.2600498      0.172414780       40.9655113    
         335   1.67667580       23.3201103      0.169089317       40.9854622    
         336   1.68168080       23.3801708      0.165820122       41.0050774    
         337   1.68668580       23.4402313      0.162606239       41.0243607    
         338   1.69169080       23.5002899      0.159446716       41.0433197    
         339   1.69669580       23.5603504      0.156340122       41.0619583    
         340   1.70170081       23.6204109      0.153286457       41.0802803    
         341   1.70670581       23.6804695      0.150284767       41.0982895    
         342   1.71171081       23.7405300      0.147335052       41.1159897    
         343   1.71671581       23.8005905      0.144435883       41.1333847    
         344   1.72172081       23.8606510      0.141586304       41.1504822    
         345   1.72672582       23.9207115      0.138786316       41.1672821    
         346   1.73173082       23.9807701      0.136034489       41.1837921    
         347   1.73673582       24.0408306      0.133331299       41.2000122    
         348   1.74174082       24.1008911      0.130674839       41.2159500    
         349   1.74674582       24.1609497      0.128065109       41.2316093    
         350   1.75175083       24.2210102      0.125500679       41.2469940    
         351   1.75675583       24.2810707      0.122982025       41.2621078    
         352   1.76176083       24.3411312      0.120507240       41.2769547    
         353   1.76676583       24.4011917      0.118076801       41.2915382    
         354   1.77177083       24.4612503      0.115689278       41.3058624    
         355   1.77677584       24.5213108      0.113344669       41.3199310    
         356   1.78178084       24.5813713      0.111042023       41.3337479    
