  *** Project Runge-Kutt ***
  ****** Input  maximum steps i_max:
1000
   h= 5.00500482E-03     t_max=5.00000000        i_max= 1000
   p2= 7.00000000        Beta=1.00000000         Kappa=   6.00000000        x0=  0.100000001    
 _________________________________________________
     i             t               K(t)    (p2-Beta/Kappa*x)      x(t)
         912   4.56459618       57.9751549       6.19888306E-06   41.9999619    
         913   4.56960106       58.0352135       6.19888306E-06   41.9999619    
         914   4.57460594       58.0952721       6.19888306E-06   41.9999619    
         915   4.57961082       58.1553307       6.19888306E-06   41.9999619    
         916   4.58461571       58.2153893       6.19888306E-06   41.9999619    
         917   4.58962059       58.2754478       6.19888306E-06   41.9999619    
         918   4.59462547       58.3355064       6.19888306E-06   41.9999619    
         919   4.59963036       58.3955650       6.19888306E-06   41.9999619    
         920   4.60463524       58.4556236       6.19888306E-06   41.9999619    
         921   4.60964012       58.5156822       6.19888306E-06   41.9999619    
         922   4.61464500       58.5757408       6.19888306E-06   41.9999619    
         923   4.61964989       58.6357994       6.19888306E-06   41.9999619    
         924   4.62465477       58.6958580       6.19888306E-06   41.9999619    
         925   4.62965965       58.7559166       6.19888306E-06   41.9999619    
         926   4.63466454       58.8159752       6.19888306E-06   41.9999619    
         927   4.63966942       58.8760338       6.19888306E-06   41.9999619    
         928   4.64467430       58.9360924       6.19888306E-06   41.9999619    
         929   4.64967918       58.9961510       6.19888306E-06   41.9999619    
         930   4.65468407       59.0562096       6.19888306E-06   41.9999619    
         931   4.65968895       59.1162682       6.19888306E-06   41.9999619    
         932   4.66469383       59.1763268       6.19888306E-06   41.9999619    
         933   4.66969872       59.2363853       6.19888306E-06   41.9999619    
         934   4.67470360       59.2964439       6.19888306E-06   41.9999619    
         935   4.67970848       59.3565025       6.19888306E-06   41.9999619    
         936   4.68471336       59.4165611       6.19888306E-06   41.9999619    
         937   4.68971825       59.4766197       6.19888306E-06   41.9999619    
         938   4.69472313       59.5366783       6.19888306E-06   41.9999619    
         939   4.69972801       59.5967369       6.19888306E-06   41.9999619    
         940   4.70473289       59.6567955       6.19888306E-06   41.9999619    
         941   4.70973778       59.7168541       6.19888306E-06   41.9999619    
         942   4.71474266       59.7769127       6.19888306E-06   41.9999619    
         943   4.71974754       59.8369713       6.19888306E-06   41.9999619    
         944   4.72475243       59.8970299       6.19888306E-06   41.9999619    
         945   4.72975731       59.9570885       6.19888306E-06   41.9999619    
         946   4.73476219       60.0171471       6.19888306E-06   41.9999619    
         947   4.73976707       60.0772057       6.19888306E-06   41.9999619    
         948   4.74477196       60.1372643       6.19888306E-06   41.9999619    
         949   4.74977684       60.1973228       6.19888306E-06   41.9999619    
         950   4.75478172       60.2573814       6.19888306E-06   41.9999619    
         951   4.75978661       60.3174400       6.19888306E-06   41.9999619    
         952   4.76479149       60.3774986       6.19888306E-06   41.9999619    
         953   4.76979637       60.4375572       6.19888306E-06   41.9999619    
         954   4.77480125       60.4976158       6.19888306E-06   41.9999619    
         955   4.77980614       60.5576744       6.19888306E-06   41.9999619    
         956   4.78481102       60.6177330       6.19888306E-06   41.9999619    
         957   4.78981590       60.6777916       6.19888306E-06   41.9999619    
         958   4.79482079       60.7378502       6.19888306E-06   41.9999619    
         959   4.79982567       60.7979088       6.19888306E-06   41.9999619    
         960   4.80483055       60.8579674       6.19888306E-06   41.9999619    
         961   4.80983543       60.9180260       6.19888306E-06   41.9999619    
         962   4.81484032       60.9780846       6.19888306E-06   41.9999619    
         963   4.81984520       61.0381432       6.19888306E-06   41.9999619    
         964   4.82485008       61.0982018       6.19888306E-06   41.9999619    
         965   4.82985497       61.1582603       6.19888306E-06   41.9999619    
         966   4.83485985       61.2183189       6.19888306E-06   41.9999619    
         967   4.83986473       61.2783775       6.19888306E-06   41.9999619    
         968   4.84486961       61.3384361       6.19888306E-06   41.9999619    
         969   4.84987450       61.3984947       6.19888306E-06   41.9999619    
         970   4.85487938       61.4585533       6.19888306E-06   41.9999619    
         971   4.85988426       61.5186119       6.19888306E-06   41.9999619    
         972   4.86488914       61.5786705       6.19888306E-06   41.9999619    
         973   4.86989403       61.6387291       6.19888306E-06   41.9999619    
         974   4.87489891       61.6987877       6.19888306E-06   41.9999619    
         975   4.87990379       61.7588463       6.19888306E-06   41.9999619    
         976   4.88490868       61.8189049       6.19888306E-06   41.9999619    
         977   4.88991356       61.8789635       6.19888306E-06   41.9999619    
         978   4.89491844       61.9390221       6.19888306E-06   41.9999619    
         979   4.89992332       61.9990807       6.19888306E-06   41.9999619    
         980   4.90492821       62.0591393       6.19888306E-06   41.9999619    
         981   4.90993309       62.1191978       6.19888306E-06   41.9999619    
         982   4.91493797       62.1792564       6.19888306E-06   41.9999619    
         983   4.91994286       62.2393150       6.19888306E-06   41.9999619    
         984   4.92494774       62.2993736       5.72204590E-06   41.9999657    
         985   4.92995262       62.3594322       5.72204590E-06   41.9999657    
         986   4.93495750       62.4194908       5.72204590E-06   41.9999657    
         987   4.93996239       62.4795494       5.72204590E-06   41.9999657    
         988   4.94496727       62.5396080       5.72204590E-06   41.9999657    
         989   4.94997215       62.5996666       5.72204590E-06   41.9999657    
         990   4.95497704       62.6597252       5.72204590E-06   41.9999657    
         991   4.95998192       62.7197838       5.72204590E-06   41.9999657    
         992   4.96498680       62.7798424       5.72204590E-06   41.9999657    
         993   4.96999168       62.8399010       5.72204590E-06   41.9999657    
         994   4.97499657       62.8999596       5.72204590E-06   41.9999657    
         995   4.98000145       62.9600182       5.72204590E-06   41.9999657    
         996   4.98500633       63.0200768       5.72204590E-06   41.9999657    
         997   4.99001122       63.0801353       5.72204590E-06   41.9999657    
         998   4.99501610       63.1401939       5.72204590E-06   41.9999657    
         999   5.00002098       63.2002525       5.72204590E-06   41.9999657    
        1000   5.00502586       63.2603111       5.72204590E-06   41.9999657    
[?2004h
